"region","Current_Quarter","Current_Revenue","prev_quarter","prev_revenue","Revenue_Growth","Revenue_Difference"
"Asia-Pacific","2018-01-01","199117000","null","null","null","null"
"Asia-Pacific","2018-04-01","221252000","2018-01-01","199117000","0.1111657969937273","22135000"
"Asia-Pacific","2018-07-01","248691000","2018-04-01","221252000","0.12401695803879739","27439000"
"Asia-Pacific","2018-10-01","276756000","2018-07-01","248691000","0.11285088724561805","28065000"
"Asia-Pacific","2019-01-01","319602000","2018-10-01","276756000","0.15481507175996184","42846000"
"Asia-Pacific","2019-04-01","349494000","2019-01-01","319602000","0.09352882647793193","29892000"
"Asia-Pacific","2019-07-01","382304000","2019-04-01","349494000","0.09387857874527174","32810000"
"Asia-Pacific","2019-10-01","418121000","2019-07-01","382304000","0.0936872227337407","35817000"
"Asia-Pacific","2020-01-01","483660000","2019-10-01","418121000","0.15674649204416904","65539000"
"Asia-Pacific","2020-04-01","569140000","2020-01-01","483660000","0.1767357234420874","85480000"
"Europe,  Middle East and Africa","2018-01-01","886649000","null","null","null","null"
"Europe,  Middle East and Africa","2018-04-01","975497000","2018-01-01","886649000","0.10020650787402907","88848000"
"Europe,  Middle East and Africa","2018-07-01","1004749000","2018-04-01","975497000","0.02998676572044814","29252000"
"Europe,  Middle East and Africa","2018-10-01","1096812000","2018-07-01","1004749000","0.09162785929620233","92063000"
"Europe,  Middle East and Africa","2019-01-01","1233379000","2018-10-01","1096812000","0.12451267856296247","136567000"
"Europe,  Middle East and Africa","2019-04-01","1319087000","2019-01-01","1233379000","0.0694903999500559","85708000"
"Europe,  Middle East and Africa","2019-07-01","1428040000","2019-04-01","1319087000","0.08259728130138497","108953000"
"Europe,  Middle East and Africa","2019-10-01","1562561000","2019-07-01","1428040000","0.09419974230413714","134521000"
"Europe,  Middle East and Africa","2020-01-01","1723474000","2019-10-01","1562561000","0.1029802996491017","160913000"
"Europe,  Middle East and Africa","2020-04-01","1892537000","2020-01-01","1723474000","0.09809431415849615","169063000"
"Latin America","2018-01-01","540182000","null","null","null","null"
"Latin America","2018-04-01","568071000","2018-01-01","540182000","0.05162889544634956","27889000"
"Latin America","2018-07-01","562307000","2018-04-01","568071000","-0.01014661899656909","-5764000"
"Latin America","2018-10-01","567137000","2018-07-01","562307000","0.008589613858621713","4830000"
"Latin America","2019-01-01","630472000","2018-10-01","567137000","0.11167495684464247","63335000"
"Latin America","2019-04-01","677136000","2019-01-01","630472000","0.07401438921950539","46664000"
"Latin America","2019-07-01","741434000","2019-04-01","677136000","0.09495581389853737","64298000"
"Latin America","2019-10-01","746392000","2019-07-01","741434000","0.006687041597768648","4958000"
"Latin America","2020-01-01","793453000","2019-10-01","746392000","0.06305131887801584","47061000"
"Latin America","2020-04-01","785368000","2020-01-01","793453000","-0.010189639461946707","-8085000"
"United States and Canada","2018-01-01","1976157000","null","null","null","null"
"United States and Canada","2018-04-01","2049546000","2018-01-01","1976157000","0.03713723150539153","73389000"
"United States and Canada","2018-07-01","2094850000","2018-04-01","2049546000","0.022104407512688176","45304000"
"United States and Canada","2018-10-01","2160979000","2018-07-01","2094850000","0.03156741532806645","66129000"
"United States and Canada","2019-01-01","2256851000","2018-10-01","2160979000","0.04436507712476614","95872000"
"United States and Canada","2019-04-01","2501199000","2019-01-01","2256851000","0.10826944268806403","244348000"
"United States and Canada","2019-07-01","2621250000","2019-04-01","2501199000","0.047997380456333144","120051000"
"United States and Canada","2019-10-01","2671908000","2019-07-01","2621250000","0.019325894134477824","50658000"
"United States and Canada","2020-01-01","2702776000","2019-10-01","2671908000","0.01155279298538722","30868000"
"United States and Canada","2020-04-01","2839670000","2020-01-01","2702776000","0.050649406388098756","136894000"
