region,Current_Quarter,Current_Subs,Prev_Quarter,Prev_Subs,Sub_Growth,Sub_Difference
Asia-Pacific,2018-01-01,7394000,null,null,null,null
Asia-Pacific,2018-04-01,8372000,2018-01-01,7394000,0.132269408,978000
Asia-Pacific,2018-07-01,9461000,2018-04-01,8372000,0.130076445,1089000
Asia-Pacific,2018-10-01,10607000,2018-07-01,9461000,0.121128845,1146000
Asia-Pacific,2019-01-01,12141000,2018-10-01,10607000,0.144621476,1534000
Asia-Pacific,2019-04-01,12942000,2019-01-01,12141000,0.065974796,801000
Asia-Pacific,2019-07-01,14485000,2019-04-01,12942000,0.119224231,1543000
Asia-Pacific,2019-10-01,16233000,2019-07-01,14485000,0.120676562,1748000
Asia-Pacific,2020-01-01,19835000,2019-10-01,16233000,0.221893673,3602000
Asia-Pacific,2020-04-01,22492000,2020-01-01,19835000,0.13395513,2657000
"Europe,  Middle East and Africa",2018-01-01,29339000,null,null,null,null
"Europe,  Middle East and Africa",2018-04-01,31317000,2018-01-01,29339000,0.067418794,1978000
"Europe,  Middle East and Africa",2018-07-01,33836000,2018-04-01,31317000,0.080435546,2519000
"Europe,  Middle East and Africa",2018-10-01,37818000,2018-07-01,33836000,0.117685306,3982000
"Europe,  Middle East and Africa",2019-01-01,42542000,2018-10-01,37818000,0.124914062,4724000
"Europe,  Middle East and Africa",2019-04-01,44229000,2019-01-01,42542000,0.039654929,1687000
"Europe,  Middle East and Africa",2019-07-01,47355000,2019-04-01,44229000,0.07067761,3126000
"Europe,  Middle East and Africa",2019-10-01,51778000,2019-07-01,47355000,0.093400908,4423000
"Europe,  Middle East and Africa",2020-01-01,58734000,2019-10-01,51778000,0.134342771,6956000
"Europe,  Middle East and Africa",2020-04-01,61483000,2020-01-01,58734000,0.046804236,2749000
Latin America,2018-01-01,21260000,null,null,null,null
Latin America,2018-04-01,22795000,2018-01-01,21260000,0.072201317,1535000
Latin America,2018-07-01,24115000,2018-04-01,22795000,0.057907436,1320000
Latin America,2018-10-01,26077000,2018-07-01,24115000,0.081360149,1962000
Latin America,2019-01-01,27547000,2018-10-01,26077000,0.056371515,1470000
Latin America,2019-04-01,27890000,2019-01-01,27547000,0.012451447,343000
Latin America,2019-07-01,29380000,2019-04-01,27890000,0.053424166,1490000
Latin America,2019-10-01,31417000,2019-07-01,29380000,0.06933288,2037000
Latin America,2020-01-01,34318000,2019-10-01,31417000,0.092338543,2901000
Latin America,2020-04-01,36068000,2020-01-01,34318000,0.050993648,1750000
United States and Canada,2018-01-01,60909000,null,null,null,null
United States and Canada,2018-04-01,61870000,2018-01-01,60909000,0.015777635,961000
United States and Canada,2018-07-01,63010000,2018-04-01,61870000,0.018425731,1140000
United States and Canada,2018-10-01,64757000,2018-07-01,63010000,0.027725758,1747000
United States and Canada,2019-01-01,66633000,2018-10-01,64757000,0.028969841,1876000
United States and Canada,2019-04-01,66501000,2019-01-01,66633000,-0.001981,-132000
United States and Canada,2019-07-01,67114000,2019-04-01,66501000,0.009217906,613000
United States and Canada,2019-10-01,67662000,2019-07-01,67114000,0.008165211,548000
United States and Canada,2020-01-01,69969000,2019-10-01,67662000,0.034095948,2307000
United States and Canada,2020-04-01,72904000,2020-01-01,69969000,0.041947148,2935000
